wtj,M_L,D_L,D_S,tE,thetaE,piE,piEN,piEE,mu_rel,muSl,muSb,i_L,iS,iL,fREM
0.3612689,0.3532477,7605,7887,4.601485,0.1164664,0.0404845,-0.01788122,-0.03632158,9.244699,-4.38797,-0.350282,99.0,8,8,0
0.4838828,0.462683,7385,7899,7.907851,0.1822985,0.04838014,-0.02910992,0.0386426,8.420053,-1.69948,4.62887,99.0,8,8,0
0.2866431,0.655152,3380,7378,34.3276,0.9249398,0.173356,0.1626822,0.05989002,9.841475,-9.19701,-0.157223,99.0,8,6,0
0.06378072,0.6199904,3953,4787,33.46087,0.4718739,0.0934563,0.02859729,0.08897345,5.150851,-4.41319,-1.08621,99.0,5,6,0
0.1080781,0.6398379,1672,6694,62.90126,1.529131,0.2934556,0.2029175,0.2119921,8.879237,-2.90169,-1.87601,99.0,8,6,0
0.6200733,0.458483,5084,7916,24.25612,0.512506,0.1372598,0.1365732,-0.01371141,7.717345,-8.21,-4.37409,99.0,8,7,0
0.4169149,0.1341563,7445,7952,4.512345,0.09674106,0.0885457,0.03508648,-0.08129747,7.830667,-5.44181,-8.21642,99.0,8,8,0
0.144163,0.1800807,4051,7190,17.93707,0.3975911,0.2711048,0.2365301,-0.1324814,8.09609,-8.2463,-5.19809,99.0,8,5,0
0.2534917,0.04641484,7563,7685,1.598479,0.02821482,0.07464281,-0.03315171,-0.06687685,6.447042,-3.08279,0.131771,99.0,8,8,0
0.7859424,0.4002314,7475,7935,4.178496,0.1590376,0.04879285,-0.04184507,-0.02509446,13.90177,3.63845,1.02947,99.0,8,8,0
0.646897,0.8480433,7123,7888,15.56387,0.3065837,0.04439138,-0.003990971,-0.04421161,7.194851,-3.0309,-2.37996,99.0,8,8,0
0.1566162,0.01266841,3859,7296,6.167445,0.1122265,1.087779,1.082595,0.1060734,6.646304,-8.27435,-2.73164,99.0,8,1,0
0.4366578,0.04986311,6604,7988,5.290134,0.1032144,0.2541725,0.2315624,0.1047976,7.126298,-8.43314,-0.921934,99.0,8,1,0
0.1983071,0.1553222,7046,7503,7.117185,0.1045682,0.0826673,-0.02461286,0.07891825,5.366383,-1.81578,0.139436,99.0,6,8,0
0.2999919,0.1040115,7144,7780,5.336272,0.09843445,0.1162073,0.07056263,-0.09233115,6.73751,-6.60765,1.32066,99.0,8,8,0
0.8384723,0.9924691,7744,7968,5.12115,0.1714368,0.02121069,0.00516256,0.02057283,12.2272,-7.50626,1.10567,99.0,8,8,0
0.3612689,0.02533393,6621,7889,3.878879,0.07076342,0.342984,0.25979,-0.2239356,6.663352,-4.00054,-3.7732,99.0,8,6,0
0.2638901,0.01122646,4452,7712,6.297384,0.09318046,1.019176,0.6768665,0.7619531,5.404492,-9.46586,2.51576,99.0,8,6,0
0.3612689,0.06180126,7797,7882,1.037234,0.02646814,0.05258886,-0.04546876,0.0264231,9.320452,-5.08357,6.18888,99.0,8,8,0
0.7488957,0.7886947,4740,7894,34.29298,0.7357566,0.1145494,0.09739126,-0.06030349,7.836447,-4.04789,-5.26136,99.0,8,4,0
0.1277489,0.800311,3518,7001,121.1974,0.9602051,0.1473238,-0.1238665,-0.07975828,2.893749,2.84973,-1.05647,99.0,8,1,0
0.2114011,0.2690772,4260,7555,36.89385,0.4736364,0.2161403,0.1685506,0.1353045,4.689011,-7.45672,2.77575,99.0,8,5,0
0.4974825,0.9008435,4499,7976,73.80366,0.8430528,0.114914,0.08498662,0.07734666,4.172219,-6.3126,0.471312,99.0,8,1,0
0.572991,1.061838,6434,7970,45.59181,0.5088969,0.05884899,0.04584761,0.03689445,4.076929,-4.48291,0.520269,99.0,8,8,0
0.3138328,0.2633062,7672,7824,3.094949,0.07369608,0.03436773,0.03434367,0.001285614,8.697234,-8.79068,-2.53838,99.0,8,8,0
0.1923998,0.3161285,7163,7480,6.283024,0.1233206,0.04790044,0.0388263,0.02805299,7.168976,-10.2443,1.39829,99.0,8,8,0
0.4568523,0.8531153,6934,7540,10.12988,0.2837021,0.04083405,-0.03372854,-0.0230175,10.22937,2.01542,-1.11205,99.0,8,8,0
0.2654264,0.7004164,6901,7649,19.88986,0.2842017,0.04982393,-0.02269103,-0.04435697,5.218974,-0.613254,-5.14945,99.0,7,8,0
0.2189955,0.7584587,4552,7447,53.00319,0.7263744,0.117597,0.1108792,-0.03917728,5.005515,-7.7649,-2.45405,99.0,8,4,0
0.1981607,0.3953848,5876,7495,23.1894,0.3440602,0.1068518,-0.03342501,-0.1014893,5.419198,-0.0942149,-1.21488,99.0,8,8,0
0.05641487,0.4133813,1530,4330,52.87864,1.192676,0.354274,0.3469909,0.07146575,8.238204,-1.323,-0.381561,99.0,0,7,0
0.2036976,0.1158333,4938,7503,9.060059,0.2555299,0.2708793,0.1699256,0.2109523,10.30151,-9.13506,2.95545,99.0,8,6,0
0.2114011,0.4178432,4279,7559,119.0059,0.5874722,0.1726401,0.1654517,0.04929835,1.803055,-2.46974,-0.0426127,99.0,8,2,0
0.4169149,0.2263188,7625,7961,10.24283,0.1009917,0.05479397,0.0002303475,-0.05479348,3.601275,-10.1097,-2.71121,99.0,8,8,0
0.3790251,0.1537978,6573,7913,8.285242,0.1796234,0.1434103,0.09441326,0.1079474,7.918591,-12.2281,3.5623,99.0,8,8,0
0.3498162,0.1544814,4367,7773,11.54587,0.355269,0.2823895,0.1928764,0.2062585,11.23882,-12.2999,1.79846,99.0,8,6,0
0.2186629,0.02464885,6340,7596,1.531388,0.07236036,0.3604721,0.3511128,0.08160867,17.25861,-13.6367,-2.98604,99.0,8,8,0
0.3790251,0.1465067,7520,7919,3.836523,0.08942571,0.07495013,0.02873131,0.06922451,8.51363,-13.6945,3.64941,99.0,8,8,0
0.144163,0.3411555,2318,7177,36.93329,0.9007059,0.324189,0.08291749,0.3134058,8.907488,-5.40549,3.21998,99.0,8,5,0
0.2203799,0.3610729,6232,7340,12.03343,0.2669442,0.0907806,-0.04911357,-0.07634772,8.102543,2.80929,-3.97372,99.0,8,6,0
0.3612689,0.06319909,7807,7890,1.090175,0.02641782,0.05132792,0.0475184,-0.01940508,8.850972,-3.20444,-6.00113,99.0,8,8,0
0.2870871,0.2145443,914,7770,42.17049,1.299125,0.7435352,0.6939937,0.2668657,11.25207,-5.11684,-0.0293424,99.0,8,5,0
0.186874,0.1153615,7132,7471,4.813119,0.07728089,0.0822581,0.07530543,-0.03309814,5.864564,-4.20848,-0.211112,99.0,6,8,0
0.1929369,0.2119842,5478,7432,13.68499,0.2878561,0.1667399,0.1413613,-0.08842605,7.682828,-10.9719,-5.19385,99.0,8,8,0
0.06010728,0.1258848,1869,4569,16.7054,0.5692717,0.5552822,-0.4070303,-0.3777098,12.44667,-1.02547,-0.678815,99.0,4,7,0
0.3993459,0.8736709,7592,7938,13.71655,0.2022331,0.02842313,-0.02757887,-0.006876096,5.385148,-5.1913,-0.538659,99.0,8,8,0
0.3790251,0.1507391,4380,7901,87.01488,0.3534227,0.2878963,0.2372514,0.1630831,1.483512,-2.53537,-0.11444,99.0,8,2,0
0.3612689,0.3198998,7731,7895,4.196174,0.08363259,0.03210178,-0.005244829,-0.03167043,7.279679,-4.21116,-0.747657,99.0,6,8,0
0.03258262,0.4976885,2537,2925,13.594,0.4607625,0.1136808,0.05366274,0.1002179,12.37999,-9.92801,1.02889,99.0,7,6,0
0.9458972,1.075722,4913,7843,32.64929,0.816167,0.09316366,0.06179737,0.06971766,9.13052,-8.55866,2.32149,99.0,8,2,0
0.4581441,0.676389,6388,7542,14.06235,0.363374,0.06596672,-0.01391107,-0.06448326,9.438138,-4.32705,-4.3446,99.0,8,8,0
0.3444618,0.2952743,5732,7852,22.86392,0.3365787,0.1399679,0.1108455,0.08546518,5.376828,-8.62094,0.526061,99.0,8,4,0
0.3138328,0.3719089,6612,7822,109.5043,0.2662836,0.08791751,-0.04582704,-0.07502913,0.8881847,-2.64493,-1.10897,99.0,8,8,0
0.2032441,1.294784,6621,7511,47.20675,0.4345966,0.04121513,0.03135431,0.02675059,3.362578,-7.82527,0.3865,99.0,8,3,0
0.195662,0.5600954,4276,6860,25.75664,0.6339163,0.1389752,0.1389752,0.0001339483,8.989447,-10.5211,-5.18289,99.0,8,6,0
0.4169149,0.1597685,7815,7956,6.63483,0.05441851,0.04182376,0.0403623,0.01095955,2.995761,-5.39047,0.333086,99.0,6,8,0
0.4169149,0.2872603,7932,7961,1.489814,0.03306578,0.01413418,-0.01346823,-0.004287413,8.106564,-2.16371,-3.01499,99.0,8,8,0
0.4169149,0.5123193,7918,7972,2.289487,0.0597495,0.0143206,0.013621,0.004421305,9.532052,-11.0086,-1.90921,99.0,8,8,0
0.4393345,1.150967,4877,7609,49.4412,0.8307342,0.08862718,0.06012478,0.06511366,6.137101,-7.06362,-0.765359,99.0,8,5,0
0.2638901,0.4045702,7573,7705,3.108512,0.08633561,0.02620377,-0.02156813,-0.01488131,10.14443,1.29725,0.583647,99.0,8,8,0
0.2186629,0.03475084,7157,7584,2.150205,0.04715762,0.1666303,0.1477786,-0.07698805,8.010547,-9.48629,-4.07182,99.0,8,8,0
0.1983071,0.71507,6317,7506,40.80118,0.3821735,0.06562654,0.06547331,0.004482037,3.421197,-5.40855,-1.51263,99.0,8,2,0
0.2328375,0.3046184,3236,7442,20.69132,0.6582313,0.2653322,0.2603802,0.05102258,11.61932,-9.26037,-2.62127,99.0,8,4,0
0.1470244,0.9067787,2197,7222,233.1384,1.52906,0.2070574,0.08861057,-0.1871388,2.395526,-1.19943,-2.03126,99.0,8,4,0
0.1768474,0.1333264,4943,7405,12.92937,0.2702429,0.248889,0.2402894,0.06485924,7.634261,-7.6798,-1.5295,99.0,8,6,0
0.2638901,0.08793016,6711,7707,5.041588,0.1174229,0.1639768,0.1639421,0.003374223,8.506986,-9.85947,-4.20599,99.0,8,8,0
0.397631,0.08098742,2299,7947,10.52624,0.4515189,0.6845827,0.6581062,0.1885462,15.66725,-12.8461,-4.07647,99.0,8,3,0
0.2264563,0.9223985,7385,7624,14.90325,0.1787336,0.02379333,0.008513327,-0.02221814,4.380416,-3.04485,-3.65815,99.0,8,8,0
0.3286485,0.5101049,7486,7830,12.99653,0.1561445,0.03758674,0.034603,0.01467637,4.38823,-8.91218,0.644695,99.0,8,8,0
0.3612689,0.7996699,574,7877,183.8045,3.244217,0.4981575,0.4579343,0.1961048,6.446798,-4.80059,2.12843,99.0,8,6,0
0.523696,0.3733016,6691,7995,16.16982,0.2722605,0.08955553,0.08955372,0.0005704954,6.149923,-6.15539,-1.96424,99.0,8,8,0
0.3138328,0.6658867,4676,7813,167.5532,0.6823388,0.1258251,0.1241983,0.02016756,1.487434,-2.75621,0.142752,99.0,8,6,0
0.1671264,0.6745684,5416,7098,33.0625,0.4902992,0.08924887,0.03704086,0.08119936,5.416463,-6.04711,3.29717,99.0,8,5,0
0.2870871,0.3183773,5881,7752,28.90127,0.3261265,0.12578,0.09580398,-0.08149973,4.121538,-5.21103,-3.94435,99.0,8,8,0
0.6491169,0.4523535,7495,7957,6.009831,0.1688189,0.04582586,-0.04204765,0.018221,10.26004,-1.18837,5.40502,99.0,8,8,0
0.397631,0.1479075,6625,7946,12.37571,0.1738648,0.1443408,0.1127721,0.09009284,5.131353,-9.51364,1.14467,99.0,8,8,0
0.3227048,1.226583,2232,7813,90.51914,1.78788,0.1789818,0.1406591,0.1106775,7.214198,-9.21575,-0.0716481,99.0,8,2,0
0.4069607,0.4197292,3973,7778,28.62047,0.6486883,0.189773,0.171823,0.08056459,8.278459,-7.44425,-1.82191,99.0,8,6,0
0.3231409,0.849354,7375,7695,9.714993,0.1973842,0.02853588,-0.003049561,0.02837246,7.420961,-5.51774,4.95526,99.0,8,8,0
0.3286485,0.02756023,6216,7833,4.417017,0.08634595,0.384704,-0.09456979,-0.372899,7.140081,0.41956,-6.20169,99.0,8,4,0
0.2909372,0.713657,7555,7696,4.093139,0.1186793,0.02041987,0.01829436,0.009071247,10.59031,-8.24746,4.352,99.0,8,8,0
0.2046288,0.1350722,7103,7531,3.055871,0.09382755,0.08529667,0.05890876,0.06168695,11.21465,-13.0943,2.05943,99.0,8,4,0
0.1500457,0.4309837,3865,7237,50.50967,0.6504355,0.1853152,0.1073976,0.1510214,4.703487,-7.38687,-0.171194,99.0,9,4,0
0.5224338,0.5351727,4048,7844,31.38649,0.7217951,0.1656104,0.02983346,-0.1629011,8.399653,-6.5688,-4.40308,99.0,8,7,0
0.1446972,0.5882064,1179,6861,22.16531,1.834722,0.3830081,-0.3010615,0.236764,30.23337,-2.12415,1.0833,99.0,8,7,0
0.1785015,0.4021151,2434,7197,24.89669,0.9437122,0.2881753,0.2101642,0.19717,13.84485,-8.96712,1.95858,99.0,8,4,0
0.2348265,0.5675846,3912,7628,74.02489,0.7586212,0.1641202,0.1368574,0.09058406,3.743152,-6.70645,-0.561953,99.0,8,4,0
0.4304244,0.2165117,3547,7946,18.69325,0.5246518,0.2975482,0.2403463,0.1754098,10.25124,-11.5429,1.1831,99.0,8,1,0
0.2348265,0.4625709,7580,7640,5.73657,0.06271163,0.01664705,-0.01275196,-0.01070102,3.992878,-4.22111,0.931168,99.0,8,8,0
0.4911671,0.7033004,6237,7739,22.69045,0.4221518,0.07370472,0.03683462,0.0638404,6.795412,-8.52868,5.22263,99.0,8,8,0
0.4366578,0.2022982,7856,7986,3.967382,0.05844523,0.03547518,-0.005720641,-0.0350109,5.380656,-8.29932,-6.0919,99.0,8,8,0
0.1816991,0.2288003,1010,7433,75.55744,1.262417,0.6775072,0.5343112,0.4165663,6.102614,-2.81707,0.604356,99.0,3,3,0
0.4366578,0.007877959,6615,7990,2.142827,0.04084764,0.6366795,-0.5728215,0.2779143,6.962578,-0.847559,5.09981,99.0,8,8,0
0.1923998,0.8273333,7139,7498,24.56314,0.2123271,0.0315132,0.02767817,0.01506654,3.157271,-7.21615,-3.1598,99.0,8,8,0
0.397631,0.1756798,7664,7929,8.142356,0.07899268,0.05521187,-0.005412231,-0.05494596,3.543455,-3.9411,-2.93322,99.0,8,9,0
0.3612689,0.786205,7643,7882,17.73211,0.1593175,0.02488258,0.01622094,0.01886859,3.281658,-8.68473,0.473171,99.0,8,8,0
0.3790251,0.6222744,1129,7901,256.8981,1.961046,0.3869665,0.3384925,0.1875256,2.788156,-7.11579,-0.612418,99.0,8,4,0
0.3490144,0.3836706,7420,7808,6.044939,0.1445427,0.04625995,0.01783527,-0.04268355,8.733621,-4.10578,-6.33187,99.0,8,8,0
0.3444618,0.1563489,7553,7861,3.524072,0.08119967,0.06377155,-0.05031971,-0.03917572,8.415885,-2.75469,0.422452,99.0,8,8,0
0.1277489,0.1753714,4509,7010,23.82512,0.3361969,0.2353978,0.1145345,0.205655,5.154053,-5.70338,1.59499,99.0,8,5,0
0.3444618,0.0957408,7171,7871,6.156651,0.09835331,0.1261419,-0.06189472,-0.1099128,5.834917,-0.617591,-0.605461,99.0,8,8,0
0.4798406,0.4664967,5051,7875,30.2782,0.519322,0.136696,0.1177635,0.06940853,6.264652,-8.63629,1.54177,99.0,8,5,0
0.4366578,0.2665251,7573,7997,10.26686,0.123241,0.05677858,-0.03933438,-0.04094648,4.384376,-5.7461,1.29878,99.0,8,8,0
0.2870871,0.1468957,6211,7774,20.45791,0.1968012,0.1645077,0.05021095,0.1566577,3.513636,-3.28571,0.126785,99.0,8,5,0
0.2989605,0.2922247,5986,7694,15.67304,0.2970999,0.1248398,-0.03000453,0.1211805,6.92372,-6.08469,0.464644,99.0,8,8,0
0.2300625,0.9550691,7305,7495,7.050377,0.1644145,0.02113844,-0.01634553,-0.01340363,8.517617,0.22239,-4.97627,99.0,8,8,0
0.04426264,0.03513339,982,3620,46.72884,0.4608398,1.610636,0.9740858,1.282695,3.602095,-3.89923,0.163371,99.0,4,6,0
0.1768474,0.1027864,6646,7419,4.432926,0.1145605,0.1368569,-0.1336604,-0.02940606,9.43919,-0.803495,2.31454,99.0,8,8,0
0.3790251,0.0800812,3896,7907,20.44248,0.291428,0.4468567,0.3615818,-0.2625633,5.207003,-1.75726,-4.76154,99.0,8,1,0
0.2638901,0.6363193,7690,7716,3.110357,0.04730662,0.009128816,-0.008514095,-0.003293244,5.555228,-2.43643,-2.96495,99.0,8,8,0
0.4366578,0.3444704,7795,7991,6.563229,0.09398238,0.03350133,0.0212007,0.02593973,5.23021,-12.6151,1.3365,99.0,8,8,0
0.3286485,0.03943913,7796,7828,0.6923811,0.01298593,0.0404309,0.02272046,-0.03344307,6.850435,-4.59283,-5.24851,99.0,8,8,0
0.3790251,0.6493709,7293,7905,18.77911,0.237009,0.04481667,0.04183415,0.01607601,4.609777,-8.79025,-5.72881,99.0,8,8,0
1.200796,0.688253,5129,7977,21.80981,0.6245478,0.1114256,0.08003029,0.07752952,10.45934,-11.4794,3.42764,99.0,8,6,0
0.2114011,0.3016398,7060,7556,10.17431,0.1510705,0.06149766,-0.03506004,0.05052481,5.423315,-4.88112,1.84089,99.0,8,8,0
0.3612689,0.004065854,7609,7877,0.9345283,0.01218747,0.368069,-0.3588669,0.08178802,4.763336,-3.45833,1.90929,99.0,8,8,0
0.4366578,0.2786137,7790,7991,3.074977,0.08562106,0.03773511,-0.03773166,-0.0005100879,10.17019,-7.73351,1.87787,99.0,8,8,0
0.4169149,0.1341573,7311,7969,4.395819,0.1110275,0.1016211,0.0961392,0.03292569,9.225312,-12.2021,-2.66173,99.0,8,8,0
0.1816354,0.6114945,6824,7216,8.729846,0.1990827,0.03997684,-0.01822972,0.03557843,8.329465,-5.9589,5.97991,99.0,8,8,0
0.3286485,0.4415359,7425,7836,9.41355,0.1592842,0.04429698,0.01455364,0.04183795,6.180297,-8.84679,6.19604,99.0,8,8,0
0.1923998,0.02702123,6058,7485,3.576632,0.08321421,0.3781465,0.3781258,-0.003952588,8.497936,-8.67657,-2.22751,99.0,8,8,0
0.1722933,0.3333495,6974,7393,8.577897,0.1485069,0.05470339,0.05467789,0.001670054,6.323477,-5.6047,-0.761405,99.0,8,8,0
0.3444618,0.8529216,7450,7865,17.36008,0.2216305,0.03190715,0.02890649,-0.01350856,4.663029,-9.2822,-6.1151,99.0,8,8,0
0.3790251,0.0614424,7834,7915,0.9886834,0.02545208,0.05086542,0.01150199,0.04954791,9.402779,-11.7836,6.56182,99.0,8,8,0
0.2750706,0.07918494,5920,7733,6.32516,0.1598056,0.2478089,-0.2473035,0.01581819,9.228065,-2.58613,2.60264,99.0,8,8,0
0.4366578,0.1285511,7852,7996,3.947223,0.04893271,0.04674023,-0.04635968,-0.005952248,4.527911,-0.0788624,-0.996796,99.0,8,8,0
